dayOfWeek,category,itemCost,satisfaction,online
sun,Software,15,9,0
sun,Furniture,122,4,1
thu,Virtual Goods,34,9,1
tue,Apparel,60,10,1
sat,Software,43,6,0
sat,Food,31,5,0
tue,Cosmetics,167,5,0
sat,Toys,42,5,0
sun,Food,42,5,1
fri,Virtual Goods,7,9,0
mon,Apparel,57,5,0
fri,Jewelry,33,5,1
fri,Collectible,21,6,1
wed,Software,89,3,0
mon,Household,54,4,0
fri,Household,16,4,1
sun,Furniture,39,8,0
thu,Virtual Goods,95,7,1
thu,Collectible,15,3,1
mon,Books,34,4,1
tue,Books,28,2,1
wed,Food,54,2,1
mon,Books,46,1,1
thu,Apparel,56,3,1
thu,Apparel,74,2,1
mon,Stationery,47,1,0
thu,Stationery,90,7,0
wed,Stationery,19,8,1
wed,Virtual Goods,45,1,1
thu,Toys,86,3,0
thu,Stationery,53,10,0
tue,Stationery,43,4,1
sun,Stationery,37,2,0
thu,Cosmetics,29,9,0
fri,Stationery,12,5,1
mon,Stationery,60,1,1
fri,Household,73,8,0
fri,Software,89,8,1
mon,Food,42,3,0
thu,Books,37,10,0
thu,Household,92,7,1
mon,Jewelry,72,9,1
wed,Books,4,3,1
tue,Furniture,19,10,0
fri,Stationery,45,3,1
fri,Toys,48,4,1
wed,Stationery,45,6,0
sat,Electronics,64,6,0
sun,Electronics,23,5,1
tue,Toys,19,7,0
sat,Food,56,3,0
sun,Software,84,5,0
tue,Stationery,17,7,0
mon,Books,45,4,0
fri,Electronics,38,9,1
thu,Toys,99,7,1
tue,Household,91,8,1
wed,Food,25,1,0
fri,Electronics,75,9,0
thu,Apparel,96,9,0
sun,Cosmetics,90,3,1
thu,Cosmetics,11,9,0
fri,Furniture,96,9,0
fri,Jewelry,97,2,0
thu,Books,53,9,1
mon,Virtual Goods,93,6,1
sat,Toys,45,8,1
fri,Furniture,29,1,1
sat,Cosmetics,67,5,1
sat,Toys,36,10,0
sun,Furniture,45,1,0
sun,Food,73,1,0
thu,Collectible,76,7,0
fri,Food,57,5,0
sun,Food,49,7,0
thu,Jewelry,14,10,0
wed,Software,80,6,0
wed,Furniture,54,2,0
wed,Books,49,3,0
sat,Cosmetics,90,8,1
wed,Cosmetics,70,1,1
sun,Collectible,93,5,1
sun,Furniture,60,4,1
tue,Toys,95,2,0
tue,Collectible,84,10,0
sat,Collectible,73,4,0
wed,Furniture,69,7,0
tue,Collectible,19,2,1
thu,Apparel,28,6,0
tue,Software,84,9,1
wed,Jewelry,67,3,1
tue,Electronics,40,3,0
mon,Jewelry,9,4,1
sun,Food,31,5,1
sat,Cosmetics,98,2,1
sun,Stationery,99,1,0
wed,Cosmetics,9,2,0
mon,Food,36,1,0
mon,Virtual Goods,24,5,0
sat,Collectible,98,6,0
sat,Virtual Goods,60,4,1
thu,Jewelry,64,10,0
thu,Toys,24,2,1
thu,Collectible,22,3,1
wed,Software,94,9,0
fri,Furniture,56,2,0
sat,Stationery,35,3,0
sat,Furniture,65,3,1
tue,Toys,52,4,1
wed,Electronics,62,9,1
thu,Toys,44,3,1
thu,Furniture,65,6,1
mon,Software,57,3,1
mon,Apparel,62,9,0
tue,Collectible,13,6,1
sat,Software,34,4,1
tue,Collectible,23,2,1
wed,Software,28,6,0
wed,Furniture,99,8,0
mon,Jewelry,72,8,0
thu,Stationery,98,6,0
fri,Apparel,60,3,1
sun,Collectible,74,10,1
thu,Cosmetics,97,9,0
sat,Household,26,6,0
tue,Stationery,30,9,0
sun,Collectible,38,2,1
sat,Furniture,39,5,1
fri,Household,80,9,0
sat,Furniture,94,4,1
tue,Virtual Goods,73,5,1
sat,Household,37,3,0
mon,Virtual Goods,56,8,0
sat,Jewelry,76,4,0
thu,Software,88,5,0
sat,Collectible,83,10,1
fri,Electronics,45,5,0
sun,Collectible,54,5,0
fri,Books,95,2,0
thu,Stationery,100,1,1
sun,Cosmetics,44,6,1
wed,Virtual Goods,44,8,1
thu,Books,96,7,0
thu,Jewelry,24,8,0
tue,Cosmetics,199,6,1
wed,Electronics,59,1,1
thu,Household,81,2,1
fri,Collectible,10,4,0
sat,Electronics,28,3,0
tue,Household,94,4,0
sat,Electronics,41,1,1
tue,Cosmetics,88,6,1
mon,Household,5,2,1
fri,Software,84,4,1
wed,Jewelry,43,3,0
mon,Apparel,26,10,0
wed,Electronics,63,3,0
sun,Household,53,4,1
thu,Virtual Goods,8,4,1
mon,Cosmetics,56,6,1
wed,Cosmetics,52,3,0
tue,Apparel,69,7,1
wed,Stationery,42,1,1
fri,Stationery,96,9,1
thu,Stationery,41,5,1
sat,Jewelry,16,3,0
wed,Books,61,6,0
sat,Food,52,8,1
tue,Collectible,25,8,0
fri,Apparel,80,10,0
thu,Jewelry,77,1,1
mon,Virtual Goods,76,8,0
mon,Toys,43,9,1
thu,Household,90,1,0
fri,Food,84,4,1
fri,Toys,25,3,1
sat,Software,10,6,1
sat,Virtual Goods,94,8,1
fri,Books,16,5,1
sun,Toys,29,8,1
wed,Food,37,3,1
sat,Food,29,7,1
mon,Apparel,3,2,0
mon,Electronics,94,7,1
sun,Stationery,87,3,0
tue,Books,34,7,1
mon,Furniture,69,5,1
wed,Toys,28,5,0
wed,Food,89,9,1
sat,Virtual Goods,76,6,0
fri,Apparel,26,5,0
thu,Electronics,18,2,0
sun,Food,32,9,0
mon,Cosmetics,96,4,1
sun,Household,88,5,0
wed,Books,75,5,1
wed,Books,72,7,1
sun,Stationery,16,8,1
thu,Collectible,89,3,0
sun,Food,78,8,0
wed,Virtual Goods,31,1,0
mon,Cosmetics,37,10,1
tue,Virtual Goods,86,2,0
thu,Toys,19,3,1
thu,Apparel,30,3,1
tue,Virtual Goods,52,4,0
mon,Stationery,57,9,1
sun,Apparel,98,8,0
tue,Collectible,88,7,1
sun,Apparel,48,7,1
fri,Cosmetics,47,1,1
tue,Toys,58,8,1
thu,Cosmetics,7,4,1
fri,Collectible,76,10,0
sun,Furniture,15,9,1
mon,Software,60,9,1
fri,Toys,95,3,1
sun,Furniture,49,3,1
sat,Jewelry,61,7,0
sat,Jewelry,66,6,1
tue,Apparel,54,2,0
mon,Virtual Goods,20,8,0
sun,Books,24,4,1
fri,Food,49,2,1
sat,Books,73,7,1
tue,Household,7,2,1
sun,Food,13,10,1
fri,Stationery,93,9,0
sat,Apparel,65,5,1
wed,Furniture,61,7,1
thu,Virtual Goods,86,4,0
thu,Furniture,32,5,0
mon,Furniture,7,10,1
thu,Software,81,7,0
thu,Toys,8,5,0
mon,Virtual Goods,55,5,1
thu,Furniture,15,1,1
sat,Collectible,35,5,0
mon,Stationery,76,3,0
tue,Virtual Goods,10,8,0
sun,Furniture,16,1,1
mon,Apparel,24,7,0
thu,Jewelry,79,8,0
wed,Cosmetics,5,5,1
mon,Furniture,5,7,0
sat,Food,1,8,1
thu,Collectible,56,2,1
fri,Electronics,65,3,1
sat,Software,92,4,1
fri,Jewelry,3,6,0
sun,Cosmetics,72,10,0
mon,Furniture,8,6,0
sun,Books,91,6,0
thu,Electronics,15,2,1
thu,Electronics,73,1,1
thu,Virtual Goods,10,10,0
thu,Toys,90,10,1
sun,Cosmetics,80,1,0
sun,Books,46,8,0
thu,Apparel,91,5,1
sat,Books,38,3,1
mon,Electronics,29,5,0
thu,Food,93,6,1
thu,Software,37,1,0
tue,Toys,88,8,0
wed,Software,16,5,0
fri,Books,83,4,1
wed,Jewelry,85,1,0
mon,Apparel,67,5,0
tue,Cosmetics,37,1,1
wed,Cosmetics,48,4,0
sat,Food,1,9,0
wed,Virtual Goods,38,2,0
fri,Food,67,4,0
sun,Cosmetics,10,5,1
sat,Apparel,98,10,0
thu,Stationery,53,9,1
tue,Electronics,14,5,1
fri,Toys,36,7,1
thu,Books,98,1,1
sat,Food,19,3,0
sun,Software,9,1,1
fri,Household,72,4,0
mon,Household,49,10,0
tue,Electronics,12,4,0
sat,Collectible,60,6,0
tue,Electronics,98,2,1
tue,Toys,42,2,1
sun,Jewelry,33,8,1
thu,Cosmetics,37,10,0
fri,Cosmetics,78,10,1
sat,Electronics,59,6,1
sat,Books,51,8,0
wed,Books,97,4,0
